Year,ID,Enrollment_Status,Respondent_Gender,Female_Child,Male_Child,Free_Or_Red,Asian,Black,Hispanic,Multiracial,Native_American,Pacific,White,BIPOC,Household_Size,Q1a_f,Q1b_f,Q1c_f,Q1d_f,Q2_f,Q2a_f,Q2b_f,Q2c_f,Q2d_f,Q3_f,Q4a_f,Q4b_f,Q4c_f,Q4d_f,Q4e_f,Q5a_f,Q5b_f,Q5c_f,Q5d_f,Q5e_f,Q5f_f,Q5g_f,Q5h_f
2021,9991090,Unenrolled,Female,Yes,Yes,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Never,Never,Once or twice,Several times,Yes,Several times,Never,Once or twice,Never,Primarily as a learning tool,Very positive,Somewhat positive,Very positive,Somewhat negative,Very positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2021,999696,Unenrolled,Male,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Once or twice,Several times,Several times,Once or twice,Yes,Once or twice,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Very positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
2021,99978,Unenrolled,Female,Yes,No,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Never,Never,Never,Once or twice,No,Never,Never,Never,Never,Device for children's entertainment,Very positive,Somewhat positive,Very positive,Somewhat positive,Somewhat positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
2021,7771365,Unenrolled,Female,Yes,No,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,No,Never,Never,Never,Never,Primarily as a learning tool,Very positive,Somewhat positive,Very positive,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,9991249,Unenrolled,Male,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Never,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Neutral,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree
2021,99977,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat negative,Very positive,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2021,999742,Unenrolled,Female,No,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Never,Yes,Several times,Never,Several times,Never,Primarily as a learning tool,Somewhat positive,Somewhat negative,Very negative,Somewhat negative,Somewhat positive,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree
2021,999456,Unenrolled,Female,Yes,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Once or twice,Once or twice,Yes,Once or twice,Never,Several times,Once or twice,Primarily as a learning tool,Very negative,Very negative,Very negative,Very negative,Somewhat positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999521,Unenrolled,Male,Yes,No,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Once or twice,Several times,Several times,Never,Yes,Once or twice,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Very positive,Very positive,Somewhat positive,Somewhat positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree
2021,9991339,Unenrolled,Female,Yes,Yes,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Once or twice,Once or twice,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Somewhat positive,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,333785,Enrolled,Female,Yes,Yes,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Never,Several times,Several times,Once or twice,Yes,Several times,Never,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2021,3331698,Enrolled,Female,Yes,No,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Never,Several times,Several times,Yes,Several times,Several times,Once or twice,Once or twice,Device for children's entertainment,Very positive,Somewhat positive,Somewhat positive,Neutral,Somewhat positive,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
2021,777762,Unenrolled,Male,Yes,Yes,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Never,Never,Never,Never,No,Never,Never,Never,Never,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat positive,Neutral,Somewhat positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
2021,7771840,Unenrolled,Female,Yes,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Once or twice,Yes,Several times,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Somewhat positive,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
2021,3331856,Enrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Several times,Several times,Once or twice,Yes,Several times,Several times,Several times,Once or twice,Device for children's entertainment,Neutral,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
2021,3331151,Enrolled,Male,Yes,Yes,,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Never,Several times,Once or twice,Once or twice,Yes,Once or twice,Several times,Several times,Once or twice,Primarily as a learning tool,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
2021,777819,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Once or twice,Several times,Several times,Once or twice,Yes,Several times,Once or twice,Several times,Several times,Device for children's entertainment,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
2021,3332298,Enrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Once or twice,Several times,Several times,Yes,Several times,Once or twice,Once or twice,Several times,Device for children's entertainment,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2021,3333015,Enrolled,Female,Yes,No,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Once or twice,Several times,Never,Device for children's entertainment,Very positive,Very positive,Somewhat negative,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
2021,3332144,Enrolled,Female,Yes,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Very positive,Somewhat negative,Neutral,Very negative,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree
2021,3332505,Enrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
2021,3332972,Enrolled,Female,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Once or twice,Several times,Once or twice,Once or twice,Yes,Several times,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
2021,7771029,Unenrolled,Female,Yes,No,All Paid,No,No,No,No,No,2,Yes,All White,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Once or twice,Primarily as a learning tool,Very positive,Very positive,Somewhat positive,Somewhat positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree
2021,3332295,Enrolled,Female,No,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Once or twice,Once or twice,Several times,Several times,Yes,Several times,Several times,Once or twice,Several times,Device for children's entertainment,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,3333412,Enrolled,Female,No,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Once or twice,Once or twice,Several times,Once or twice,Yes,Once or twice,Several times,Several times,Once or twice,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
2021,3333195,Enrolled,Female,No,Yes,All FRL,No,No,No,Yes,No,2,No,,Single child,Never,Never,Several times,Never,Yes,Never,Never,Once or twice,Once or twice,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree
2021,999250,Unenrolled,Female,Yes,No,All Paid,No,No,No,No,No,2,Yes,All White,Single child,Once or twice,Several times,Several times,Once or twice,Yes,Several times,Never,Once or twice,Several times,Primarily as a learning tool,Very positive,Very positive,Somewhat negative,Neutral,Somewhat positive,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,9991251,Unenrolled,Female,No,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Never,Never,Never,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,9991164,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Once or twice,Once or twice,Yes,Several times,Several times,Once or twice,Several times,Device for children's entertainment,Very positive,Neutral,Somewhat negative,Somewhat negative,Somewhat positive,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2021,777610,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Several times,Once or twice,Once or twice,Several times,Yes,Once or twice,Several times,Several times,Once or twice,Primarily as a learning tool,Very positive,Neutral,Somewhat negative,Somewhat negative,Somewhat positive,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,7771770,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Very positive,Very positive,Very positive,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
2021,999204,Unenrolled,Female,Yes,No,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Once or twice,Yes,Never,Never,Once or twice,Once or twice,Primarily as a learning tool,Very positive,Very positive,Somewhat negative,Somewhat negative,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999216,Unenrolled,Male,Yes,No,All Paid,No,No,No,No,No,2,Yes,All White,Single child,Never,Never,Several times,Several times,Yes,Never,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Very positive,Very positive,Very positive,Somewhat positive,Somewhat positive,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree
2021,7771779,Unenrolled,Female,No,Yes,All FRL,No,No,No,Yes,No,2,No,,Single child,Several times,Several times,Several times,Once or twice,Yes,Several times,Several times,Several times,Once or twice,Primarily as a learning tool,Very positive,Very positive,Somewhat positive,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,7771450,Unenrolled,Female,No,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Several times,Once or twice,Several times,Several times,Yes,Several times,Never,Once or twice,Several times,Primarily as a learning tool,Neutral,Very negative,Somewhat negative,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999669,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Once or twice,Several times,Several times,Several times,Yes,Several times,Once or twice,Several times,Several times,Device for children's entertainment,Very positive,Somewhat positive,Somewhat positive,Very positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree
2021,7771852,Unenrolled,Male,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Several times,Several times,Several times,Once or twice,No,Never,Never,Never,Never,Device for children's entertainment,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat positive,Very positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
2021,999887,Unenrolled,Female,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Never,Once or twice,Several times,Several times,Yes,Several times,Once or twice,Never,Several times,Device for children's entertainment,Very positive,Neutral,Very negative,Very negative,Somewhat negative,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
2021,9991119,Unenrolled,Male,No,Yes,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Never,Never,Once or twice,Never,No,Never,Never,Never,Never,Primarily as a learning tool,Very positive,Somewhat positive,Somewhat positive,Very positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree
2021,999608,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat negative,Very positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999534,Unenrolled,Female,No,Yes,All Paid,No,No,No,Yes,No,2,No,,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Very positive,Very negative,Neutral,Somewhat positive,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999501,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,Yes,No,2,No,,Multiple children,Once or twice,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat positive,Neutral,Somewhat positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,999666,Unenrolled,Female,Yes,Yes,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Once or twice,Never,Once or twice,Once or twice,Yes,Once or twice,Several times,Once or twice,Once or twice,Primarily as a learning tool,Somewhat positive,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2021,9991234,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Never,Once or twice,Several times,Once or twice,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Very positive,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat positive,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree
2021,999704,Unenrolled,Female,Yes,No,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Several times,Never,Several times,Once or twice,No,Never,Never,Never,Never,Primarily as a learning tool,Very positive,Very negative,Neutral,Very negative,Very positive,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree
2021,7771522,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Never,Several times,Never,Never,Yes,Never,Never,Never,Never,Primarily as a learning tool,Somewhat negative,Somewhat negative,Very negative,Very negative,Very negative,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2021,99991,Unenrolled,Female,Yes,No,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Once or twice,Once or twice,Several times,Once or twice,Yes,Never,Several times,Several times,Several times,Device for children's entertainment,Very positive,Very positive,Somewhat negative,Very positive,Very positive,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree
2021,99985,Unenrolled,Female,Yes,No,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Once or twice,Several times,Several times,No,Never,Never,Never,Never,Primarily as a learning tool,Somewhat positive,Neutral,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree
2021,9991107,Unenrolled,Female,No,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Single child,Several times,Once or twice,Several times,Several times,Yes,Once or twice,Never,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Very positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree
2021,999564,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Once or twice,Yes,Several times,Once or twice,Several times,Several times,Device for children's entertainment,Very positive,Somewhat positive,Somewhat negative,Somewhat positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,999410,Unenrolled,Female,Yes,Yes,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Once or twice,Never,Once or twice,Never,Yes,Once or twice,Never,Never,Once or twice,Device for children's entertainment,Somewhat positive,Somewhat negative,Neutral,Somewhat negative,Somewhat positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
2021,9991023,Unenrolled,Male,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Never,Never,Never,Never,No,Never,Never,Never,Never,Device for children's entertainment,Somewhat negative,Neutral,Somewhat negative,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
2021,9991267,Unenrolled,Female,Yes,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Once or twice,Several times,Several times,Once or twice,Yes,Several times,Several times,Several times,Once or twice,Primarily as a learning tool,Somewhat positive,Very positive,Very positive,Somewhat negative,Very positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,999715,Unenrolled,Male,Yes,No,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Once or twice,Several times,Once or twice,Never,Yes,Several times,Never,Once or twice,Once or twice,Primarily as a learning tool,Very positive,Somewhat negative,Somewhat negative,Neutral,Very positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree
2021,999679,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Somewhat negative,Very negative,Somewhat negative,Very negative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,777991,Unenrolled,Female,Yes,No,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Very positive,Neutral,Somewhat negative,Very positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree
2021,999110,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Once or twice,Once or twice,Never,Yes,Several times,Once or twice,Several times,Never,Device for children's entertainment,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
2021,999411,Unenrolled,Male,Yes,Yes,,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Once or twice,Yes,Once or twice,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Neutral,Very negative,Very negative,Neutral,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree
2021,9991060,Unenrolled,Female,Yes,No,All FRL,No,No,No,No,Yes,2,No,At least one BIPOC,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Never,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Very positive,Very positive,Somewhat positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
2021,999842,Unenrolled,Female,No,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Single child,Never,Several times,Several times,Several times,Yes,Once or twice,Once or twice,Once or twice,Several times,Device for children's entertainment,Very positive,Somewhat positive,Neutral,Somewhat negative,Very positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,7771264,Unenrolled,Female,Yes,No,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Once or twice,Once or twice,Several times,Several times,Yes,Several times,Once or twice,Several times,Never,Device for children's entertainment,Somewhat positive,Neutral,Somewhat negative,Somewhat positive,Somewhat negative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
2021,7771031,Unenrolled,Female,No,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Single child,Never,Once or twice,Several times,Several times,Yes,Several times,Several times,Never,Never,Primarily as a learning tool,Very positive,Neutral,Somewhat positive,Neutral,Very negative,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree
2021,777872,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Never,Several times,Several times,Once or twice,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Very positive,Very positive,Somewhat negative,Somewhat negative,Very positive,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree
2021,7771367,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Somewhat positive,Somewhat negative,Very negative,Somewhat positive,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,7771178,Unenrolled,Male,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Neutral,Very negative,Very negative,Very negative,Somewhat positive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,777905,Unenrolled,Female,Yes,No,All FRL,No,No,No,No,Yes,2,No,At least one BIPOC,Multiple children,Never,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree
2021,7771964,Unenrolled,Female,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Neutral,Somewhat negative,Somewhat positive,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree
2021,777440,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Once or twice,Several times,Several times,Yes,Once or twice,Never,Several times,Several times,Device for children's entertainment,Very positive,Neutral,Somewhat positive,Somewhat negative,Very positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,777567,Unenrolled,Male,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Never,Once or twice,Once or twice,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Very positive,Very positive,Very positive,Somewhat positive,Somewhat positive,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree
