Year,ID,Enrollment_Status,Respondent_Gender,Female_Child,Male_Child,Free_Or_Red,Asian,Black,Hispanic,Multiracial,Native_American,Pacific,White,BIPOC,Household_Size,Q1a_f,Q1b_f,Q1c_f,Q1d_f,Q2_f,Q2a_f,Q2b_f,Q2c_f,Q2d_f,Q3_f,Q4a_f,Q4b_f,Q4c_f,Q4d_f,Q4e_f,Q5a_f,Q5b_f,Q5c_f,Q5d_f,Q5e_f,Q5f_f,Q5g_f,Q5h_f
2021,77775,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Never,Never,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Somewhat positive,Very negative,Neutral,Somewhat positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999694,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Never,Never,Never,Several times,Yes,Several times,Several times,Never,Several times,Primarily as a learning tool,Somewhat positive,Very positive,Neutral,Neutral,Somewhat positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree
2021,5551120,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Once or twice,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Neutral,Neutral,Neutral,Very negative,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree
2021,555954,Unenrolled,Female,Yes,No,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Once or twice,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
2021,777613,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Several times,Once or twice,Several times,Never,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Somewhat positive,Very positive,Somewhat negative,Very positive,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,555659,Unenrolled,Female,Yes,No,,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Never,Several times,Several times,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Somewhat negative,Somewhat negative,Very negative,Very negative,Very negative,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
2021,555884,Unenrolled,Female,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Once or twice,Several times,Several times,Once or twice,Yes,Several times,Once or twice,Once or twice,Once or twice,Device for children's entertainment,Somewhat negative,Somewhat negative,Very negative,Very negative,Somewhat negative,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
2021,7771890,Unenrolled,Male,Yes,No,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Once or twice,Never,Once or twice,Never,Yes,Never,Several times,Never,Never,Primarily as a learning tool,Very positive,Very positive,Very positive,Somewhat positive,Very positive,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
2021,555612,Unenrolled,Female,No,Yes,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Once or twice,Once or twice,Several times,Once or twice,Yes,Several times,Several times,Several times,Once or twice,Primarily as a learning tool,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
2021,55578,Unenrolled,Male,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Single child,Never,Never,Several times,Once or twice,Yes,Once or twice,Never,Never,Once or twice,Device for children's entertainment,Very negative,Somewhat negative,Very negative,Somewhat negative,Very negative,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
2021,7771529,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Never,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Very negative,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2021,555603,Unenrolled,Male,Yes,Yes,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Never,Never,Several times,Once or twice,Yes,Several times,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Very positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,777293,Unenrolled,Female,Yes,No,All Paid,No,Yes,Yes,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Once or twice,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Very positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
2021,555617,Unenrolled,Female,Yes,No,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Somewhat negative,Neutral,Somewhat positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,555941,Unenrolled,Male,Yes,No,,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Once or twice,Once or twice,Once or twice,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Neutral,Somewhat positive,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
2021,555599,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Several times,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Neutral,Very positive,Somewhat negative,Neutral,Somewhat positive,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
2021,7771562,Unenrolled,Male,Yes,No,All Paid,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Never,Once or twice,Never,Once or twice,No,Never,Never,Never,Never,Primarily as a learning tool,Very positive,Very positive,Very positive,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree
2021,5551239,Unenrolled,Female,Yes,Yes,All Paid,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Several times,Yes,Several times,Once or twice,Once or twice,Several times,Primarily as a learning tool,Neutral,Very positive,Very negative,Very negative,Neutral,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,7771310,Unenrolled,Male,Yes,No,,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Never,Several times,Several times,Several times,No,Never,Never,Never,Never,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,7771982,Unenrolled,Female,No,Yes,All FRL,No,No,No,Yes,No,2,No,,Single child,Never,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Neutral,Somewhat negative,Very negative,Somewhat negative,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
2021,7771191,Unenrolled,Female,Yes,Yes,,No,No,Yes,No,No,2,No,At least one BIPOC,Multiple children,Once or twice,Never,Several times,Never,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Somewhat positive,Very positive,Somewhat positive,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree
2021,555895,Unenrolled,Female,No,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Very positive,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree
2021,5551217,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Several times,Yes,Several times,Once or twice,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,7771734,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Several times,Several times,Never,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Very positive,Somewhat negative,Somewhat negative,Somewhat positive,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree
2021,777285,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat negative,Very negative,Very negative,Very negative,Very negative,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
2021,777476,Unenrolled,Female,No,Yes,,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
2021,555387,Unenrolled,Female,No,Yes,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Once or twice,Several times,Several times,Never,No,Never,Never,Never,Never,Primarily as a learning tool,Very positive,Very positive,Very negative,Very positive,Somewhat positive,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree
2021,555480,Unenrolled,Male,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Device for children's entertainment,Somewhat positive,Somewhat negative,Neutral,Very positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree
2021,7771495,Unenrolled,Female,Yes,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Once or twice,Once or twice,Several times,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Somewhat negative,Neutral,Somewhat negative,Somewhat negative,Somewhat negative,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree
2021,9991318,Unenrolled,Male,Yes,No,All Paid,No,No,No,Yes,No,2,No,,Single child,Never,Once or twice,Several times,Never,Yes,Never,Never,Once or twice,Once or twice,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat positive,Neutral,Somewhat positive,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree
2021,777713,Unenrolled,Female,Yes,No,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Several times,Once or twice,Several times,Yes,Several times,Once or twice,Once or twice,Once or twice,Primarily as a learning tool,Very positive,Very positive,Somewhat positive,Somewhat negative,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
2021,999689,Unenrolled,Female,Yes,No,All Paid,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Never,Never,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Neutral,Somewhat negative,Neutral,Somewhat positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
2021,777105,Unenrolled,Female,No,Yes,All FRL,No,No,No,No,No,2,Yes,All White,Multiple children,Never,Several times,Several times,Once or twice,Yes,Several times,Several times,Once or twice,Several times,Device for children's entertainment,Somewhat positive,Somewhat positive,Very negative,Very negative,Very negative,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2021,999908,Unenrolled,Female,No,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very negative,Very positive,Somewhat positive,Very positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2021,7771883,Unenrolled,Female,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Somewhat positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
2021,999801,Unenrolled,Female,No,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Single child,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Once or twice,Several times,Primarily as a learning tool,Somewhat positive,Somewhat positive,Very positive,Very positive,Very positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree
2021,7771030,Unenrolled,Female,No,Yes,All FRL,No,No,Yes,No,No,2,No,At least one BIPOC,Single child,Several times,Several times,Several times,Once or twice,Yes,Once or twice,Several times,Several times,Once or twice,Primarily as a learning tool,Very positive,Somewhat negative,Somewhat positive,Somewhat negative,Very positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree
2021,7771638,Unenrolled,Male,Yes,Yes,All FRL,No,Yes,No,No,No,2,No,At least one BIPOC,Multiple children,Several times,Several times,Several times,Several times,Yes,Several times,Several times,Several times,Several times,Primarily as a learning tool,Very positive,Very positive,Very positive,Very negative,Somewhat negative,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree
